Timestamp,1 Weight,1 Reps,2 Weight,2 Reps,3 Weight,3 Reps,4 Weight,4 Reps,5 Weight,5 Reps
2024-04-06 10:30:00,40,11,40,12,40,8,20,13,20,14
2024-04-17 19:53:11,60,10,60,10,60,13,0,0,0,0
2024-05-03 10:30:11,100,10,100,8,80,6,80,7,80,5
2024-05-16 13:02:55,100,7,100,6,100,7,0,0,0,0
2024-05-31 20:06:41,120,7,120,6,120,5,0,0,0,0
2024-06-21 14:48:18,70,6,50,6,50,8,0,0,0,0
2024-08-23 16:07:22,60,11,60,12,0,0,0,0,0,0
2024-10-05 17:47:48,60,8,60,9,60,7,0,0,0,0
2024-10-26 15:13:13,80,6,80,6,80,5,0,0,0,0
2024-11-16 14:15:05,70,7,70,7,70,6,0,0,0,0
2024-11-23 15:26:55,95,8,95,7,0,0,0,0,0,0
